"year"," Academy Award"," Winner"," Movie Name"," Producer"," IMDB Rating"," IMDB Votes","Tomatometer","Average Critic Score","Percent Audience Liked","Average Audience Score"
2009," 82nd"," False"," The Blind Side"," Gil Netter",7.7,227224,66,6.1,85,8.2
2009," 82nd"," False"," District 9"," Peter Jackson and Carolynne Cunningham",7.2,9,90,7.8,82,7
2009," 82nd"," False"," An Education"," Finola Dwyer and Amanda Posey",3.4,71,94,7.9,80,7.6
2009," 82nd"," True"," The Hurt Locker"," Kathryn Bigelow",7.1,375,98,8.5,84,7.8
2009," 82nd"," False"," Inglourious Basterds"," Lawrence Bender",8.3,905555,89,7.8,87,7.8
2009," 82nd"," False"," Precious: Based on the Novel 'Push' by Sapphire"," Lee Daniels",7.3,88297,91,7.8,81,7.2
2009," 82nd"," False"," A Serious Man"," Joel Coen and Ethan Coen",7,103802,89,7.9,67,7
2009," 82nd"," False"," Up"," Jonas Rivera",6.3,98,98,8.7,90,7.6
2009," 82nd"," False"," Up in the Air"," Daniel Dubiecki",7.2,71,91,8.1,79,7.4
2010," 83rd"," False"," Black Swan"," Mike Medavoy",6.3,7,87,8.2,84,8
2010," 83rd"," False"," The Fighter"," David Hoberman",7.8,29,90,7.8,89,8.2
2010," 83rd"," False"," Inception"," Emma Thomas and Christopher Nolan",7.6,569,86,8.1,91,8.4
2010," 83rd"," False"," The Kids Are All Right"," Gary Gilbert",7.3,7,93,7.8,73,7.2
2010," 83rd"," True"," The King's Speech"," Iain Canning",8,514217,95,8.6,92,8.6
2010," 83rd"," False"," 127 Hours"," Christian Colson",7.3,9,93,8.3,85,8
2010," 83rd"," False"," The Social Network"," Scott Rudin",7.7,488022,96,9,86,8.2
2010," 83rd"," False"," Toy Story 3"," Darla K. Anderson",8.3,556525,99,8.9,89,8.6
2010," 83rd"," False"," True Grit"," Scott Rudin",7.7,245009,96,8.4,85,8
2010," 83rd"," False"," Winter's Bone"," Anne Rosellini and Alix Madigan-Yorkin",7.2,113015,94,8.3,76,7.4
2011," 84th"," True"," The Artist"," Thomas Langmann",7.2,6,97,8.8,87,8.4
2011," 84th"," False"," The Descendants"," Jim Burke",7.3,207007,89,8.1,79,7.6
2011," 84th"," False"," Extremely Loud & Incredibly Close"," Scott Rudin",6.9,82819,46,5.5,61,7
2011," 84th"," False"," The Help"," Brunson Green",8.6,653,75,7,89,8.4
2011," 84th"," False"," Hugo"," Graham King and Martin Scorsese",7.5,248840,94,8.3,78,7.8
2011," 84th"," False"," Midnight in Paris"," Letty Aronson and Stephen Tenenbaum",7.7,306318,93,7.8,83,8
2011," 84th"," False"," Moneyball"," Michael De Luca",7.6,287554,94,8,86,8
2011," 84th"," False"," The Tree of Life"," Sarah Green",7.4,44,84,8.1,60,6.6
2011," 84th"," False"," War Horse"," Steven Spielberg and Kathleen Kennedy",7.2,117927,76,7,74,7.6
2012," 85th"," False"," Amour"," Margaret Menegoz",7.9,71679,93,8.7,82,8
2012," 85th"," True"," Argo"," Grant Heslov",7.7,459836,96,8.4,90,8.4
2012," 85th"," False"," Beasts of the Southern Wild"," Dan Janvey",7.3,71182,86,8.2,76,7.6
2012," 85th"," False"," Django Unchained"," Stacey Sher",8.5,978431,88,8,91,8.6
2012," 85th"," False"," Les Misérables"," Tim Bevan",7.6,247346,69,6.9,79,8
2012," 85th"," False"," Life of Pi"," Gil Netter",9,5,87,7.9,84,8.2
2012," 85th"," False"," Lincoln"," Steven Spielberg and Kathleen Kennedy",6,8,90,8,80,8
2012," 85th"," False"," Silver Linings Playbook"," Donna Gigliotti",7.8,542281,92,8.2,86,8.2
